"obs","island","sagrei.present","sagrei.type","species","sex","svl","morph.good","mass","head.ht","hindlimb.phalanx","hindlimb.metatarsal","tibia","fibula","femur","pelvis.width","metacarpal","ulna","radius","humerus","shoulder.width","leg.length","opening.inlever","closing.inlever","whole.head","outlever","snout.plus.eye","snout","real.eye.length","frontal.parietal.to.snout","braincase.width","head.width.retroarticulars","head.width.jugals","head.width.quadrates","snout.width.eye","real.lower.jaw.length","real.quadrate.to.symphisis","real.jugal.to.symphasis","real.orbit.to.symphysis"
"G021","hornet",0,0,"carolinensis","m",56.66,1,3.2,6.31,3.431,5.688,8.795,8.817,10.897,5.003,2.272,6.082,6.36,8.996,5.937,28.811,1.34,3.469,15.101,13.76,10.291,5.304,5.392,10.726,2.416,6.868,8.398,8.045,4.302,15.486,14.336,11.115,5.723
"G024","hornet",0,0,"carolinensis","f",47.15,1,2.1,4.84,2.664,4.677,7.24,7.402,8.884,4.495,1.791,5.468,4.721,7.067,5.049,23.465,1.098,2.319,11.47,10.372,8.053,3.811,4.509,8.774,2.434,5.553,6.947,6.698,3.887,11.802,10.899,8.77,4.278
"G026","hornet",0,0,"carolinensis","m",55.39,1,3,5.84,3.287,5.462,8.917,8.8,11.152,4.692,2.28,6.598,5.815,9.115,5.656,28.818,1.424,3.465,14.956,13.532,10.067,4.946,5.568,10.198,2.279,8.361,8.707,8.575,4.344,15.529,14.195,10.968,5.402
"G027","hornet",0,0,"carolinensis","m",54.39,1,2.8,6.02,3.349,5.579,8.552,8.393,10.997,4.807,2.321,6.588,5.994,9.144,5.717,28.477,1.75,3.363,15.066,13.316,9.953,4.941,5.393,10.434,2.064,7.482,8.512,8.511,4.532,15.524,13.98,10.825,5.436
"G028","hornet",0,0,"carolinensis","f",47.38,1,1.9,4.49,2.627,4.737,7.204,7.061,8.626,4.07,1.84,5.272,4.542,7.013,4.544,23.194,0.831,2.299,11.219,10.389,8.089,3.702,4.648,8.352,2.202,5.472,6.683,6.746,3.674,11.548,10.922,8.752,4.133
"G029","hornet",0,0,"carolinensis","m",52.84,1,2.6,5.3,3.424,5.762,8.707,8.374,10.301,4.533,2.195,6.343,5.729,9.005,5.395,28.194,1.372,3.153,13.883,12.511,9.358,4.725,4.938,9.108,2.138,6.817,7.675,8.025,4.255,14.295,13.138,10.114,5.182
"G030","yin",1,1,"carolinensis","f",46.69,1,1.9,4.99,2.999,4.394,6.991,6.93,8.587,4.638,1.746,5.035,4.664,6.815,4.804,22.971,0.775,2.665,11.438,10.663,7.998,3.868,4.379,8.559,2.021,4.987,6.5,6.662,3.612,11.707,11.171,8.633,4.269
"G035","osprey",0,0,"carolinensis","unk",47.86,0,1.7,4.79,3.009,4.785,7.257,7.028,9.024,3.964,2.002,5.668,4.946,7.395,5.667,24.075,1.189,2.55,13.784,12.594,10.044,5.447,4.879,10.028,2.465,5.76,7.304,7.211,4.036,14.081,13.1,10.687,5.809
"G036","osprey",0,0,"carolinensis","m",57.3,1,2.8,5.69,3.593,5.463,8.107,7.981,10.417,4.774,2.182,6.344,5.889,8.718,6.167,27.58,1.787,3.383,16.47,14.683,11.3,6.18,5.453,11.501,2.109,7.234,8.484,8.611,4.735,16.862,15.301,12.07,6.618
"G038","osprey",0,0,"carolinensis","m",54.84,1,2.9,5.58,3.465,5.424,8.525,8.605,10.556,4.754,2.029,6.344,5.698,8.573,5.641,27.97,1.518,3.384,16.08,14.563,11.179,6.165,5.36,11.138,2.599,7.039,8.481,8.28,4.689,16.461,15.14,11.956,6.596
"G039","osprey",0,0,"carolinensis","m",48.11,1,1.7,4.84,3.252,4.837,7.5,7.312,9.478,3.856,1.744,5.475,5.098,7.258,4.658,25.067,1.076,2.76,12.86,11.784,9.023,4.882,4.434,9.83,2.492,5.528,7.138,7.004,3.973,13.154,12.293,9.704,5.27
"G040","osprey",0,0,"carolinensis","f",48.47,1,2.1,4.73,3.011,4.354,7.199,7.109,9.038,4.654,1.872,5.471,4.902,6.922,4.908,23.602,0.814,2.502,12.282,11.468,8.966,4.633,4.59,9.018,2.499,5.874,7.2,7.257,4.191,12.628,12.028,9.662,5.085
"G042","osprey",0,0,"carolinensis","m",56.65,1,2.6,5.74,3.498,5.726,8.831,8.705,10.855,4.745,2.235,6.805,6.073,9.077,5.32,28.91,1.616,3.368,15.859,14.243,10.875,6.195,4.941,11.113,2.223,7.071,8.016,8.283,4.849,16.248,14.833,11.59,6.653
"G044","yang",1,2,"carolinensis","m",58.29,1,3.5,6.32,3.402,5.081,8.591,8.533,10.828,4.7,2.17,6.767,6.346,8.453,6.122,27.902,1.437,3.416,16.373,14.936,11.52,6.377,5.501,11.778,2.25,6.887,8.982,8.663,5.077,16.731,15.552,12.365,6.864
"G045","yang",1,2,"carolinensis","m",50.39,1,2.2,5.2,3.347,5.144,8.073,7.84,10.356,4.419,2.115,6.133,5.313,7.834,5.283,26.92,1.175,2.629,13.604,12.428,9.799,5.058,5.047,9.35,2.404,5.68,7.898,7.765,4.439,13.897,13.021,10.565,5.523
"G046","crescent",0,0,"carolinensis","m",59.94,1,3.8,6.3,3.667,6.006,9.077,8.975,11.093,5.204,2.496,6.98,6.048,9.086,6.398,29.843,1.871,3.396,17.245,15.374,11.978,6.721,5.583,12.012,2.522,7.627,8.804,8.779,5.043,17.661,15.988,12.761,7.179
"G047","crescent",0,0,"carolinensis","m",58.8,1,4.3,6.33,3.476,5.669,8.832,8.682,11.117,5.464,2.215,6.704,5.945,8.692,6.682,29.094,1.799,3.539,16.627,14.829,11.29,6.133,5.603,10.859,2.457,8.058,9.509,9.323,5.181,17.109,15.544,12.25,6.657
"G051","crescent",0,0,"carolinensis","f",47.49,1,2.1,4.8,2.992,4.563,7.01,6.748,8.713,4.777,1.75,5.404,4.464,7.007,5.31,23.278,1.298,2.583,12.325,11.027,8.444,4.252,4.462,8.777,2.598,6.268,7.082,7.092,4.026,12.717,11.583,9.156,4.704
"G052","crescent",0,0,"carolinensis","m",58.26,1,3.8,6.18,3.408,5.426,8.58,8.515,10.642,4.991,2.102,6.718,5.854,8.822,6.129,28.056,1.598,3.697,16.865,15.268,11.571,6.472,5.519,11.332,2.248,7.873,9.51,9.351,5.31,17.319,15.968,12.51,6.995
"G055","crescent",0,0,"carolinensis","f",46.27,1,2,4.68,2.927,4.682,7.097,7.056,9.056,4.453,1.685,5.378,4.924,7.47,5.146,23.762,1.421,2.254,11.36,9.939,7.685,3.609,4.451,7.632,2.516,6.713,7.206,7.171,3.627,11.845,10.566,8.487,4.039
"G056","crescent",0,0,"carolinensis","f",47.82,1,2,4.46,2.942,4.043,6.843,6.691,8.95,4.444,1.583,5.379,4.588,7.016,5.207,22.778,1.084,2.293,11.279,10.195,7.902,3.951,4.256,7.84,2.358,5.932,6.612,6.756,3.451,11.663,10.74,8.566,4.311
"G057","n.twin",1,2,"carolinensis","f",49.97,1,2.5,5.17,2.974,4.814,7.241,7.089,9.64,4.985,1.842,5.59,4.949,7.593,5.296,24.669,1.131,2.736,12.211,11.08,8.344,3.859,4.9,9.505,2.381,6.634,7.585,7.392,3.646,12.654,11.681,9.166,4.268
"G058","n.twin",1,2,"carolinensis","m",58.39,1,3.7,5.95,3.877,5.642,9.202,9.156,11.642,4.74,2.134,6.803,6.017,9.146,5.736,30.363,1.708,3.756,16.369,14.661,10.905,5.849,5.548,11.284,2.095,6.943,9.019,8.457,4.453,16.734,15.259,11.801,6.259
"G060","n.twin",1,2,"carolinensis","m",55.18,1,2.9,5.81,3.619,5.427,8.639,8.392,10.989,4.915,2.115,6.362,5.798,8.765,6.675,28.674,1.666,3.665,16.36,14.694,11.029,6.515,4.854,11.794,1.982,7.243,8.403,8.419,4.838,16.756,15.286,11.802,6.95
"G063","n.twin",1,2,"carolinensis","m",56.36,1,3.3,5.84,3.905,5.631,9.328,8.948,12.057,4.92,2.22,7.254,6.543,9.425,6.128,30.921,1.69,3.751,17.089,15.399,11.648,6.42,5.657,12.046,2.305,7.45,9.007,8.664,4.704,17.49,15.997,12.489,6.838
"G064","n.twin",1,2,"carolinensis","m",57.24,1,3,5.99,3.453,5.528,8.609,8.434,11.03,4.572,2.121,6.591,5.692,8.697,5.944,28.62,1.655,3.505,16.628,14.973,11.468,6.513,5.415,11.178,1.918,6.815,8.792,8.395,4.432,16.973,15.55,12.282,6.88
"G066","n.twin",1,2,"carolinensis","f",47.94,1,1.7,4.76,2.965,4.443,7.351,7.347,9.299,4.716,1.971,5.462,4.964,7.305,5.073,24.058,1.038,2.383,12.352,11.315,8.931,4.485,4.756,8.459,2.305,5.105,7.188,6.783,3.831,12.613,11.812,9.628,4.877
"G068","yin",1,1,"carolinensis","m",57.29,1,3.7,6.32,3.597,5.416,8.881,8.833,11.202,5.174,2.081,6.754,5.825,8.695,6.759,29.096,1.699,3.462,16.126,14.427,10.965,5.783,5.586,11.269,1.98,7.656,9.245,9.032,5.074,16.574,15.118,11.9,6.315
"G069","yin",1,1,"carolinensis","m",57.48,1,3.4,6.14,3.231,5.405,8.774,8.746,10.978,5.186,2.07,6.944,6.067,8.679,5.932,28.388,1.627,3.238,15.871,14.243,11.005,5.813,5.694,11.149,2.009,7.717,8.903,8.957,4.229,16.333,14.931,11.871,6.185
"G074","yin",1,1,"carolinensis","m",58.04,1,3.6,6.45,3.613,5.642,8.803,8.788,11.192,5.254,2.29,6.723,6.091,8.815,6.262,29.25,1.717,3.568,16.939,15.223,11.654,6.384,5.711,12.165,2.198,7.802,9.154,9.185,4.759,17.382,15.9,12.521,6.813
"G075","line.cedars",1,1,"carolinensis","m",50.78,1,2.3,5.23,3.185,5.046,8.099,8,10.081,4.419,1.904,6.069,5.176,7.77,5.93,26.411,1.206,3.178,14.091,12.886,9.707,4.894,5.174,9.63,2.411,6.952,7.939,7.939,4.149,14.514,13.483,10.488,5.315
"G083","line.cedars",1,1,"carolinensis","m",53.93,1,2.7,5.68,3.612,5.009,8.44,8.344,10.474,4.506,2.076,6.423,5.366,7.974,5.427,27.535,1.598,3.039,15.278,13.68,10.641,5.534,5.537,11.224,2.308,7.384,8.744,8.568,4.461,15.718,14.335,11.504,5.967
"G091","line.cedars",1,1,"carolinensis","m",56.42,1,3.3,5.68,3.396,5.834,9.02,9.08,10.889,5.085,2.354,6.778,6.064,8.98,5.824,29.139,1.701,3.312,15.966,14.264,10.953,5.689,5.655,11.822,2.242,7.92,8.658,8.548,4.533,16.45,14.891,11.777,6.124
"G095","lizard",1,1,"carolinensis","m",58.95,1,3.2,6.19,3.681,5.757,9.278,9.068,11.29,5.126,2.231,7.094,6.487,9.671,5.868,30.006,1.746,4.146,17.379,15.633,11.486,6.35,5.513,12.402,2.242,7.49,8.971,8.741,4.969,17.778,16.232,12.331,6.819
"G098","lizard",1,1,"carolinensis","m",57,1,3.2,6.01,3.485,5.613,8.93,8.758,10.895,4.61,1.981,6.676,6.122,8.819,5.664,28.923,1.679,3.345,16.38,14.701,11.356,6.183,5.628,11.467,2.386,7.841,9.158,8.74,4.739,16.843,15.337,12.244,6.621
"G113","hook",1,2,"carolinensis","m",57.6,1,3.3,6.11,3.397,5.458,8.627,8.77,10.803,5.085,2.24,6.794,5.919,8.655,4.762,28.285,1.808,3.458,16.283,14.475,11.017,6.166,5.26,12.137,2.272,7.501,9.033,8.765,4.963,16.709,15.124,11.907,6.647
"G114","hook",1,2,"carolinensis","m",58.03,1,3.3,5.72,3.518,5.665,8.739,8.736,10.901,5.133,2.404,6.771,5.964,8.437,5.705,28.823,1.551,3.523,16.095,14.544,11.021,5.78,5.572,11.473,2.108,7.739,8.794,8.794,5.004,16.554,15.194,11.866,6.299
"G115","hook",1,2,"carolinensis","f",58.58,1,2.1,4.68,2.716,4.493,7.196,6.897,8.934,4.575,1.752,5.184,4.412,7.361,5.095,23.339,0.923,2.477,11.538,10.615,8.138,3.913,4.454,8.869,2.471,6.459,6.799,7.211,3.984,11.981,11.211,8.82,4.391
"G128","s.twin",0,0,"carolinensis","m",57.38,1,2.8,5.97,3.575,5.611,8.801,8.885,11.289,4.759,2.112,6.77,5.754,8.956,5.392,29.276,1.643,3.677,16.659,15.016,11.338,6.401,5.33,11.659,2.432,7.27,8.892,8.535,4.874,17.051,15.61,12.179,6.85
"G131","s.twin",0,0,"carolinensis","f",45.94,1,1.6,4.64,2.644,4.425,7.032,7.073,9.178,4.536,1.611,5.256,4.722,7.271,4.785,23.279,0.806,2.39,11.372,10.565,8.175,4.146,4.264,9.007,2.387,5.048,6.472,6.603,3.675,11.648,11.069,8.792,4.535
"G133","s.twin",0,0,"carolinensis","m",50.3,1,2.1,5.15,3.273,5.119,7.901,7.926,9.905,4.24,1.872,6.109,5.274,7.876,5.155,26.198,1.221,2.934,13.351,12.131,9.197,4.619,4.98,9.24,2.366,6.255,7.722,7.678,3.803,13.713,12.724,9.975,4.995
"G135","s.twin",0,0,"carolinensis","f",44.27,1,1.3,4.36,2.294,4.025,6.559,6.572,8.096,3.857,1.474,4.73,4.256,6.525,4.607,20.974,1.025,2.515,11.144,10.118,7.603,3.661,4.227,8.374,2.229,4.939,6.599,6.688,3.59,11.414,10.657,8.288,4.078
"G136","s.twin",0,0,"carolinensis","m",57.52,1,2.9,6.03,3.15,5.141,8.784,8.818,10.833,4.748,2.085,6.462,5.841,8.503,5.673,27.908,1.538,3.6,16.389,14.851,11.251,5.897,5.765,11.001,1.963,6.892,9.08,8.87,4.811,16.747,15.499,12.133,6.369
"G137","s.twin",0,0,"carolinensis","m",56.89,1,3.2,5.85,3.264,5.466,8.744,8.702,11.059,4.927,2.334,6.412,5.801,8.673,6.09,28.533,1.372,3.679,16.611,15.238,11.559,6.162,5.711,11.672,2.448,7.901,9.113,8.926,5.381,17.074,15.878,12.425,6.724
"G138","s.twin",0,0,"carolinensis","f",47.29,1,1.7,4.58,2.78,4.338,7.139,6.995,8.973,4.307,1.66,4.827,4.657,7.312,5.044,23.23,1.237,2.279,11.792,10.555,8.276,3.882,4.693,8.368,2.587,5.49,7.062,7.195,3.786,12.108,11.152,8.998,4.319
"G140","hornet",0,0,"carolinensis","f",45.28,1,1.3,4.34,2.842,4.604,7.521,7.225,9.54,4.444,1.821,5.529,5.02,7.424,4.685,24.507,1.308,2.494,12.13,10.822,8.328,4.27,4.334,8.527,2.653,5.801,6.932,6.99,3.89,12.472,11.372,9.021,4.692
"G141","hornet",0,0,"carolinensis","m",56.34,1,3,5.99,3.471,5.678,8.578,8.611,10.695,4.444,2.212,6.549,5.969,8.696,5.847,28.422,1.551,3.735,15.918,14.368,10.632,5.857,5.18,10.932,2.264,7.258,8.675,8.556,4.67,16.327,14.991,11.483,6.305
"G143","hornet",0,0,"carolinensis","m",59.82,1,3.8,6.38,3.722,6.115,9.333,9.157,11.949,5.312,2.307,7.014,6.258,9.946,6.181,31.119,1.901,3.81,16.762,14.861,11.051,5.939,5.504,11.1,2.621,7.54,9.061,8.85,4.985,17.18,15.506,11.943,6.441
"G145","hornet",0,0,"carolinensis","f",49.89,1,2.3,4.65,2.869,4.657,7.311,7.195,9.289,4.915,1.859,5.28,4.642,7.32,5.298,24.126,1.104,2.402,11.34,10.236,7.835,3.734,4.325,8.413,2.281,6.01,6.613,6.757,3.867,11.732,10.779,8.504,4.205
"G146","hornet",0,0,"carolinensis","m",61.05,1,3.9,5.99,3.624,5.878,9.397,9.205,11.803,5.494,2.558,7.209,6.195,9.541,6.953,30.702,1.855,3.953,17.002,15.147,11.194,6.142,5.51,12.386,2.388,8.476,9.337,9.335,4.953,17.522,15.85,12.128,6.623
"G147","hornet",0,0,"carolinensis","m",55.12,1,2.7,5.37,3.475,5.611,8.868,8.907,11.511,4.942,2.149,6.607,5.932,9.186,5.446,29.465,1.507,3.435,15.296,13.79,10.354,5.57,5.12,11.222,2.555,7.115,8.301,8.301,4.683,15.704,14.401,11.155,6.042
"G148","hornet",0,0,"carolinensis","m",55.02,1,2.8,5.85,3.421,5.485,8.815,8.779,10.992,4.715,2.242,6.599,5.802,8.678,5.601,28.713,1.519,3.554,15.506,13.987,10.433,5.436,5.348,11.533,2.476,6.878,8.225,8.047,4.426,15.883,14.554,11.214,5.869
"G150","hornet",0,0,"carolinensis","m",57.63,1,3.4,5.55,3.566,5.763,8.844,8.611,11.13,5.028,2.342,6.56,5.973,8.828,6.388,29.303,1.699,3.326,15.549,13.85,10.524,5.358,5.534,10.535,2.171,7.23,8.73,8.915,4.761,15.964,14.549,11.393,5.863
"G152","yang",1,2,"carolinensis","m",53.28,1,2.6,5.15,3.226,5.403,8.412,8.087,10.648,4.458,2.007,6.133,5.231,8.435,5.765,27.689,1.409,3.169,14.856,13.446,10.277,5.302,5.266,11.186,2.47,6.295,7.9,7.761,4.451,15.185,13.995,11.01,5.75
"G153","yang",1,2,"carolinensis","m",50.54,0,2.1,5.11,3.008,4.818,7.744,7.745,10.09,4.525,1.84,5.741,5.244,7.928,5.324,25.66,1.383,2.836,13.612,12.229,9.393,4.899,4.814,9.586,2.471,6.517,7.669,7.796,4.217,13.997,12.835,10.146,5.334
"G157","yang",1,2,"carolinensis","m",57.62,1,3.3,5.85,3.171,5.113,8.444,8.41,10.515,4.869,2.14,6.41,5.445,8.467,5.609,27.243,1.539,3.165,15.485,13.946,10.781,5.696,5.474,11.643,2.492,7.049,8.65,8.269,4.599,15.881,14.546,11.616,6.142
"G158","yang",1,2,"carolinensis","m",59.42,1,4.1,6.06,3.208,5.722,9.075,9.027,11.503,5.11,2.117,6.706,5.814,9.12,6.403,29.508,1.888,3.619,16.718,14.83,11.211,5.609,6.067,11.965,2.341,7.699,9.283,9.153,4.715,17.156,15.52,12.134,6.084
"G159","yang",1,2,"carolinensis","f",45.68,1,1.9,4.52,2.846,3.991,6.438,6.494,8.8,4.716,1.804,5.155,4.509,7.223,5.069,22.075,1.085,2.426,11.375,10.291,7.864,3.741,4.396,8.085,2.62,5.822,7.025,6.816,3.977,11.742,10.84,8.613,4.237
"G160","osprey",0,0,"carolinensis","m",54.81,0,2.8,5.58,2.882,5.388,8.17,7.994,10.134,4.564,2.153,6.055,5.409,8.418,5.552,26.574,1.414,3.42,15.605,14.191,10.771,5.545,5.555,10.935,2.018,6.385,8.583,8.01,4.818,15.928,14.746,11.595,6.046
"G161","osprey",0,0,"carolinensis","f",47.88,1,1.9,4.46,2.765,4.548,7.086,6.92,8.984,4.283,1.649,5.134,4.312,7.093,4.936,23.383,0.819,2.697,12.083,11.264,8.567,4.553,4.262,8.7,2.292,5.151,6.906,7.041,4.038,12.355,11.802,9.237,4.981
"G166","osprey",0,0,"carolinensis","m",55.59,1,2.6,5.6,3.311,5.206,8.272,8.302,10.138,4.731,2.154,6.291,5.556,8.259,5.553,26.927,1.527,3.618,16.294,14.767,11.149,6.009,5.468,11.72,2.209,6.193,8.383,8.002,4.671,16.586,15.299,11.911,6.447
"G167","crescent",0,0,"carolinensis","f",46.08,1,1.8,4.62,2.664,4.475,6.87,6.782,8.754,4.306,1.848,5.157,4.216,6.901,4.855,22.763,1.238,2.286,11.623,10.384,8.099,4.094,4.364,8.667,2.398,5.916,6.866,6.954,3.428,11.993,10.951,8.796,4.439
"G169","crescent",0,0,"carolinensis","m",52.26,1,2.8,5.36,3.278,5.405,8.232,8.159,10.539,4.595,2.282,6.179,5.483,8.283,5.903,27.454,1.497,3.099,14.335,12.838,9.739,5.175,4.96,10.036,2.699,7.05,8.323,8.112,4.473,14.762,13.463,10.591,5.638
"G170","crescent",0,0,"carolinensis","m",57.48,1,3.6,5.89,3.432,5.561,8.819,8.852,11.393,5.492,2.032,6.649,5.736,8.976,6.497,29.205,1.521,3.734,16.626,15.105,11.371,6.179,5.699,11.819,2.263,7.972,9.223,8.963,4.526,17.097,15.756,12.271,6.581
"G171","crescent",0,0,"carolinensis","f",49.25,1,2.8,4.81,2.835,4.497,7.325,7.282,9.267,4.716,1.785,5.593,4.653,7.648,5.196,23.924,1.235,2.651,12.182,10.947,8.297,4.124,4.461,9.035,2.319,5.997,7.079,6.968,3.927,12.546,11.488,9.02,4.568
"G173","crescent",0,0,"carolinensis","m",57.6,1,3.2,5.6,3.522,5.347,8.928,8.88,10.736,4.864,2.243,6.684,5.975,9.105,5.966,28.533,1.713,3.389,15.987,14.274,10.885,5.685,5.552,11.838,2.768,7.173,8.673,8.596,4.785,16.384,14.907,11.717,6.168
"G174","crescent",0,0,"carolinensis","f",47.96,1,2.1,4.6,2.285,4.262,6.577,6.559,8.503,4.692,1.635,4.935,4.294,6.719,4.688,21.627,1.224,2.496,11.941,10.717,8.222,4.082,4.422,8.467,2.645,5.6,6.696,6.751,3.592,12.265,11.237,8.878,4.459
"G175","crescent",0,0,"carolinensis","m",58.23,1,3.4,6.14,3.66,5.568,8.854,8.668,11.157,5.179,2.341,6.605,5.683,8.933,5.963,29.239,1.776,3.634,16.779,15.003,11.369,5.914,5.92,12.22,2.388,7.363,9.269,9.174,4.682,17.178,15.688,12.277,6.36
"G176","crescent",0,0,"carolinensis","m",58.11,1,3.9,6.08,3.832,5.476,8.817,8.754,10.901,5.403,2.363,6.73,5.727,9.461,6.05,29.026,1.559,3.169,16.794,15.235,12.066,6.435,6.078,12.11,2.264,7.387,9.208,9.086,4.637,17.196,15.898,12.915,6.84
"G178","n.twin",1,2,"carolinensis","m",55.9,1,3.2,5.57,3.575,5.662,9.071,8.974,11.133,4.959,2.31,6.997,6.029,9.069,6.377,29.441,1.782,3.539,16.054,14.272,10.733,5.714,5.446,11.799,2.098,7.725,8.987,8.807,4.77,16.512,14.936,11.635,6.192
"G179","n.twin",1,2,"carolinensis","f",44.04,1,1.7,4.53,2.897,4.525,6.981,7.018,8.706,4.267,1.733,5.162,4.556,7.011,4.94,23.109,1.112,2.62,11.67,10.558,7.938,3.974,4.264,8.602,2.477,5.362,6.688,6.413,3.554,11.974,11.034,8.614,4.353
"G180","n.twin",1,2,"carolinensis","m",55.65,1,3.2,5.71,3.638,5.779,9.125,9.006,11.453,4.91,2.213,7.149,6.299,9.625,6.243,29.995,1.892,3.638,16.785,14.893,11.254,6.159,5.504,11.836,2.425,7.567,9.022,8.93,4.859,17.206,15.548,12.125,6.622
"G185","n.twin",1,2,"carolinensis","m",58.99,1,3.1,5.8,3.533,5.71,9.195,9.151,11.566,5.053,2.304,6.956,6.079,9.255,6.132,30.004,2.094,3.525,17.146,15.052,11.527,6.524,5.443,12.287,2.667,7.902,9.046,9.147,4.761,17.596,15.732,12.382,6.945
"G189","n.twin",1,2,"carolinensis","m",58.84,1,3.4,6.01,3.233,5.468,8.607,8.741,10.904,5.413,2.206,6.551,5.724,8.982,6.415,28.212,1.933,3.803,16.993,15.06,11.257,5.727,6.075,11.844,2.421,7.61,9.836,9.254,4.808,17.413,15.755,12.284,6.211
"G191","s.twin",0,0,"carolinensis","f",49.21,1,2.1,4.67,2.878,4.48,7.242,7.272,9.296,4.867,1.745,5.342,4.509,7.677,4.812,23.896,1.412,2.511,12.653,11.241,8.729,4.428,4.62,8.955,2.325,5.916,7.029,7.078,3.676,12.994,11.784,9.41,4.794
"G194","s.twin",0,0,"carolinensis","m",59.63,1,3.4,5.75,3.604,5.503,8.854,9.11,11.249,4.971,2.318,6.974,6.149,9.293,5.921,29.21,1.901,3.654,17.051,15.15,11.496,6.175,5.675,11.318,2.522,7.504,9.079,8.87,5.132,17.459,15.786,12.36,6.687
"G197","s.twin",0,0,"carolinensis","m",54.16,1,2.8,5.59,3.386,5.407,8.716,8.716,11.131,4.613,2.085,6.798,5.88,8.901,5.643,28.64,1.746,3.825,16.203,14.457,10.632,5.703,5.33,11.219,2.692,7.702,8.718,8.528,4.665,16.654,15.073,11.491,6.161
"G200","s.twin",0,0,"carolinensis","m",56.5,1,2.8,5.31,3.531,5.433,8.77,8.76,11.092,4.806,2.522,6.819,6.002,9.116,5.716,28.826,1.591,3.446,15.958,14.367,10.92,5.765,5.485,11.432,2.562,6.893,8.484,8.134,4.738,16.326,14.931,11.715,6.233
"G201_recap_G131","s.twin",0,0,"carolinensis","f",46.67,0,1.7,4.64,2.816,4.457,7.18,7.153,9.379,4.283,1.702,5.331,4.446,7.343,4.779,23.832,1.275,2.468,11.876,10.601,8.133,3.984,4.376,8.299,2.402,5.525,6.703,6.607,3.924,12.193,11.104,8.797,4.441
